index,id,title,type,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
347,tm90864,Due Date,MOVIE,2010,R,95,tt1231583,6.5,339626
348,tm101249,Cop Out,MOVIE,2010,R,107,tt1385867,5.5,87673
349,ts687,The 4400,SHOW,2004,TV-14,44,tt0389564,7.3,44971
350,ts24028,Still Game,SHOW,2002,TV-14,29,tt0281491,8.9,7539
351,tm142564,3 Idiots,MOVIE,2009,PG-13,170,tt1187043,8.4,385782
352,ts23752,Midnight Diner,SHOW,2009,TV-MA,27,tt1882928,8.6,2110
353,ts21706,H2O: Just Add Water,SHOW,2006,TV-PG,25,tt0491603,7.2,14782
354,ts21740,Black Butler,SHOW,2008,TV-MA,25,tt1316554,8.3,1856
355,ts30356,Octonauts,SHOW,2010,TV-Y,15,tt1710177,7.6,1049
356,tm89684,New York Minute,MOVIE,2004,PG,87,tt0363282,4.8,23307
357,ts31514,Strawberry Shortcake,SHOW,2003,TV-Y,23,tt7996132,7,13
358,ts22005,Total Drama Island,SHOW,2007,TV-PG,23,tt1173427,7.4,10523
359,tm183963,Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,tt0487897,6.8,13034
360,tm27268,Monster House,MOVIE,2006,PG,91,tt0385880,6.6,114942
361,tm81270,Starsky & Hutch,MOVIE,2004,PG-13,101,tt0335438,6.1,145981
362,tm137342,Tears of the Sun,MOVIE,2003,R,121,tt0314353,6.6,121066
363,ts21688,Boys Over Flowers,SHOW,2009,TV-14,64,tt1370334,7.9,11579
364,ts22318,Winx Club,SHOW,2004,TV-G,23,tt3233214,6.2,6700
365,tm161263,The Cave,MOVIE,2005,PG-13,97,tt0403424,5.1,38445
366,ts12815,Big Time Rush,SHOW,2009,TV-G,25,tt1131746,6.3,12046
367,tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,R,91,tt0420294,5.8,72366
368,tm55303,I Am Sam,MOVIE,2001,PG-13,132,tt0277027,7.6,149082
369,tm31189,The Spiderwick Chronicles,MOVIE,2008,PG,96,tt0416236,6.5,94628
370,tm165593,Rumor Has It...,MOVIE,2005,PG-13,97,tt0398375,5.5,57894
371,ts15986,Dead Set,SHOW,2008,TV-MA,141,tt1285482,7.6,19684
372,ts26322,Toradora!,SHOW,2008,TV-14,30,tt1279024,8,14307
373,tm78767,I Now Pronounce You Chuck & Larry,MOVIE,2007,PG-13,115,tt0762107,5.9,146625
374,tm36644,World Trade Center,MOVIE,2006,PG-13,129,tt0469641,6,83129
375,tm77649,Premonition,MOVIE,2007,PG-13,96,tt0477071,5.9,78119
376,ts33559,Shaun the Sheep,SHOW,2007,TV-G,7,tt0983983,8,25
377,tm33113,Eagle Eye,MOVIE,2008,PG-13,118,tt1059786,6.6,185430
